Actor,Followers,Is_In_IMDB,Score
Christopher Stadulis,,0,
Jimmy Star,2445,0,
Arne Starr,181,0,
Liam Stone,8737,0,
Tajna Tanovic,525,0,
Aija Terauda,10,0,
Brigid Turner,3177,0,
Evelyn Vaccaro,2562,0,
Nick Vlassopoulos,832,0,
Sincerely A. Ward,67041,0,
Silq Webster,42028,0,
Graig F. Weich,56734,0,
Fredrick Weiss,3592,0,
Jennifer Weston,1011,0,
Trenton Willey,476,0,
Ray Wineteer,,0,
Zachary Levi,1623027,0,
Mandy Moore,5558448,0,
Donna Murphy,37700,0,
Ron Perlman,1013315,0,
M.C. Gainey,,0,
Jeffrey Tambor,954,0,
Brad Garrett,91099,0,
Paul F. Tompkins,223302,0,
Richard Kiel,290,0,
Delaney Rose Stein,3933,0,
Nathan Greno,55381,0,
Byron Howard,,0,
Tim Mertens,78,0,
Robert Downey Jr.,57288924,0,
Chris Hemsworth,57646819,0,
Mark Ruffalo,20536206,0,
Chris Evans,3905530,0,
Scarlett Johansson,4060201,0,
Jeremy Renner,21197707,0,
James Spader,73293,0,
Samuel L. Jackson,8235263,0,
Don Cheadle,926150,0,
Aaron Taylor-Johnson,903896,0,
Elizabeth Olsen,364309,0,
Paul Bettany,2245282,0,
Cobie Smulders,2169576,0,
Anthony Mackie,2942083,0,
Hayley Atwell,1952994,0,
Idris Elba,6399057,0,
Linda Cardellini,695454,0,
Claudia Kim,357961,0,
Thomas Kretschmann,33192,0,
Andy Serkis,332414,0,
Julie Delpy,116451,0,
Henry Goodman,630,0,
Chris Luca,13040,0,
Brian Schaeffer,445,0,
Dominique Provost-Chalkley,286173,0,
Isaac Andrews,10739,0,
Gareth Kieran Jones,12139,0,
Chan Woo Lim,1382,0,
Minhee Yeo,49,0,
Bentley Kalu,9856,0,
Julian Bleach,35,0,
Christopher Beasley,6113,0,
Vuyo Dabula,475443,0,
Nondumiso Tembe,10430,0,
Kabelo Thai,16045,0,
Lele Leowaba,1008,0,
Mandla Gaduka,30704,0,
Harriet Manamela,25536,0,
Beulah Hashe,,0,
Musca Kumalo,548,0,
Mathapelo September,,0,
Antony Acheampong,153,0,
Chioma Anyanwu,1154,0,
Ben Sakamoto,92,0,
Imogen Poynton,,0,
Isabella Poynton,309,0,
Ingvild Deila,4137,0,
Sunny Yeo,506,0,
Namju Go,260,0,
Mina Kweon,136187,0,
Earl T. Kim,1723,0,
Arthur Lee,1804,0,
Verity Hewlett,44,0,
Michael Matovski,,0,
Alma Noce,63450,0,
Riccardo Richetta,985,0,
Constanza Ruff,1086,0,
Monty Mclaren-Clark,,0,
Julia Krynke,421,0,
Tony Christensen,1390,0,
Ian Kay,2715,0,
Barry Aird,322,0,
Aaron Himelstein,960,0,
Kerry Condon,42150,0,
Jaiden Stafford,,0,
Dilyana Bouklieva,1328,0,
Josh Brolin,3354464,0,
Joti Nagra,5,0,
Nick W. Nicholson,3043,0,
Daniel Westwood,917,0,
Daniel Radcliffe,3392012,0,
Rupert Grint,5043900,0,
Emma Watson,75037605,0,
Tom Felton,12094854,0,
Michael Gambon,3634,0,
Jim Broadbent,153902,0,
Helena Bonham Carter,106995,0,
Robbie Coltrane,22483,0,
Maggie Smith,101312,0,
Alan Rickman,109237,0,
Timothy Spall,43,0,
David Thewlis,347382,0,
Julie Walters,13872,0,
Matthew Lewis,2516821,0,
