Actor,Followers,Is_In_IMDB,Score,EstimatedIncome
Daryl Sabara,756615,0,12.719948957920533,34.01865446315179
Arkie Reece,918,0,6.6978866382014814,29.86005674426866
Davood Ghadami,122876,0,11.10004634731086,36.351365980854126
Pippa Nixon,441,0,6.329365754774407,26.88972615058887
Philip Philmar,85,0,4.461372043029296,0.7058940896737624
Emily Tierney,111341,0,12.058785860482844,34.92580427671854
Don Stark,4797,0,7.918818026686629,35.965869927180336
Josh Daugherty,3574,0,8.356363132811202,37.034894198230916
Christopher Goodman,943,0,6.530967413193297,28.588791567197006
Amanda Clayton,22895,0,9.842653325353774,37.75049017798793
Joseph Billingiere,1155,0,7.170159185656384,32.844022311973816
Bryce Dallas Howard,3321892,0,14.545551714257778,32.66706930767924
James Cromwell,288,0,5.604805161573244,19.147129964369412
J.K. Simmons,3421,0,7.526103564765241,34.55241416960311
Theresa Russell,1351,0,7.230272472503103,33.1633241443881
Dylan Baker,14157,0,9.160857407636954,37.87912441948376
Bill Nunn,240,0,5.8878549875563495,22.494184785446123
Elizabeth Banks,3937666,0,14.538488687462117,32.668045650212804
Ted Raimi,74944,0,11.6448452210958,35.54270616786607
Perla Haney-Jardine,13163,0,8.77769081684696,37.63640869542101
Willem Dafoe,139511,0,11.997239473919937,35.016176574842774
Cliff Robertson,146,0,5.029861998995112,10.92830072472708
Elya Baskin,22,0,3.1155473087044263,-33.46745520089894
Mageina Tovah,20394,0,10.32383224259112,37.342098678770896
Joe Manganiello,2847076,0,15.09282070895882,32.70022272912965
Stan Lee,12288917,0,15.792617861769449,33.04673797466603
Bruce Campbell,177749,0,11.723158881590072,35.42487822856057
Christopher Young,3186,0,8.149950284165868,36.59189390969914
Grant Curtis,279,0,5.520738630486955,18.067761644372382
Daniel Gillies,4663261,0,16.076063969643897,33.276546098112135
John Paxton,366,0,6.170260748811832,25.41598706909636
Becky Ann Baker,260,0,5.72016185269026,20.5637849920559
Steve Valentine,13127,0,9.785897411208795,37.783731812281786
Lucy Gordon,675,0,6.21047399524312,25.79986422236047
Toni Wynne,1255,0,6.864648952582607,31.013720761505056
Andre B. Blake,55412,0,10.470614586929653,37.17985430805729
Tim Maculan,557,0,6.5496242262668325,28.73684856194572
Marc Vann,205,0,5.502194371845193,17.82423476745035
Joe Bays,33,0,3.637598599106121,-18.383552465628128
Gregg Daniel,2534,0,7.824123906468968,35.666949155639685
Michael Alexander,229,0,5.499298321961345,17.786024582465245
April Parker-Jones,43116,0,10.11789923835171,37.54234603155274
Robert Curtis Brown,1051,0,6.878665364223237,31.105565249496465
Christina Cindrich,155737,0,11.961465124377954,35.069001252542535
Sonya Maddox,466,0,6.524042898695939,28.53345146448632
Jessi Collins,15519,0,9.451977326839751,37.90142995051647
Michael McLaughlin,1712,0,7.667487889237137,35.11503631161412
Emilio Rivera,721874,0,13.979069090871851,32.85778685677428
Keith Woulard,2217,0,8.154450506174594,36.602684104681
Reynaldo Gallegos,4842,0,8.511627804897698,37.3014558654356
Dean Edwards,194312,0,11.487275432120342,35.77975061314635
Margaret Laney,668,0,6.716930347057701,29.99757912102811
Aimee Miles,367,0,5.941446129083895,23.07978529982813
Tanya Bond,3715,0,8.029095120506948,36.28241961710262
Mark Kubr,2497,0,8.226910978030073,36.7693565413889
Tony Besson,14339,0,9.945964176033874,37.68114139105998
Frank Anello,36,0,3.719685752530337,-16.23288494590895
Joseph O'Brien,120534,0,11.841458628796616,35.24750512058293
Joe Lipari,980,0,6.796912510867382,30.558786809570535
Silvia Lombardo,1751,0,7.498837651098995,34.43660851551195
Joe Lipari,980,0,6.796912510867382,30.558786809570535
Silvia Lombardo,1751,0,7.498837651098995,34.43660851551195
David Dale McCue,128,0,4.813890303373994,7.305228545999142
Olan Montgomery,1216,0,7.201230278741969,33.01067924260184
Alex Moore,14419,0,9.489989084216996,37.89525904704297
Shane Nolan,42903,0,11.324462155499996,36.02297014103996
Jackson Nunn,21609,0,9.62291449552152,37.85859627497683
Joseph O'Brien,120532,0,11.841458628796616,35.24750512058293
Kyle David Pierce,36094,0,10.853400827946986,36.696545637011695
Troy Polamalu,573990,0,13.61496465074157,33.09648681387961
Michael Power,7784,0,8.857195702607594,37.70877735855555
James Rawlings,785,0,6.317038322266927,26.779811719792946
Ben Roethlisberger,758,0,6.827589393875345,30.767106699352638
Mark Roman,836,0,6.350188591768704,27.07378518050993
Eric Salazar,933,0,6.786360892992473,30.486251240004805
Emily Schooley,1900,0,7.809592839921444,35.61880214424673
Thomas Tull,212,0,5.343650658782646,15.660378619161861
Ciaran Hinds,420,0,9.25852722192958,37.90092479957923
Dominic West,8141,0,8.19108599709445,36.68860653548052
Taylor Kitsch,404839,0,13.653644064269988,33.06702555523853
Lynn Collins,144925,0,11.388993378205347,35.92691202144837
Samantha Morton,203065,0,11.447604279174303,35.839253185544806
Willem Dafoe,139515,0,11.997239473919937,35.016176574842774
Thomas Haden Church,481,0,6.393891782714719,27.45358980939335
Tobey Maguire,499785,0,12.842661491899328,33.867847664246284
Kirsten Dunst,2304495,0,15.448994387293192,32.83547883804832
James Franco,364210,0,12.457200926153783,34.362281022317575
Topher Grace,571941,0,13.494792807715369,33.19400756740521
Vanessa Reseland,273,0,5.622094492142085,19.364165220011444
La Rivers,6825197,0,16.127563026650876,33.32333438618355
Bria Roberts,401,0,5.793068573185527,21.421531239138346
Luis Rosa,357470,0,12.984166235434277,33.702570571919324
Vanessa Ross,569,0,6.549228078040556,28.73372062854594
Brenna Roth,3552,0,7.8192540098000975,35.65088162975587
Shade Rupe,186,0,5.1713801955305065,13.138329187807784
Eric Shackelford,132,0,5.0143542813451765,10.678349034927436
Daniel Shafer,14783,0,10.066358568024665,37.58685141122925
Jennifer Sparks,2009,0,7.245858991566375,33.24400956742227
Jimmy Star,2445,0,7.8180242187733295,35.646813229840575
Arne Starr,181,0,5.430267663381451,16.860846870190443
Liam Stone,8737,0,8.6850958150147,37.53646922373633
Tajna Tanovic,525,0,6.255950111811627,26.22463167772159
Sincerely A. Ward,67041,0,11.07673493310919,36.38481457843602
Jennifer Weston,1011,0,7.106955016237663,32.494189434522184
Zachary Levi,1623027,0,13.972092748807045,32.86153038626799
Mandy Moore,5558448,0,16.395252907533266,33.58959822272206
Donna Murphy,37700,0,10.624936929086234,36.99435664800782
Ron Perlman,1013315,0,14.264222083682135,32.73352290077861
Brad Garrett,91099,0,11.540318540043144,35.70003823259819
Paul F. Tompkins,223302,0,11.872394985397827,35.20132132789283
Richard Kiel,290,0,5.887054283942335,22.485321990378623
Delaney Rose Stein,3933,0,8.211993238006023,36.736121823941886
Nathan Greno,55381,0,10.974876081963004,36.52909504274325
Tim Mertens,78,0,4.509263510025883,1.6543034508701737
Robert Downey Jr.,57288924,0,17.986933932326675,35.685586390011565
Chris Hemsworth,57646819,0,18.02070547272077,35.73301769067646
Mark Ruffalo,20536206,0,16.293187078340836,33.48365945962951
Chris Evans,3905530,0,15.218326139969472,32.73785553979559
Scarlett Johansson,4060201,0,14.970928544035138,32.674305884033345
Jeremy Renner,21197707,0,16.387749809399995,33.581632738531084
James Spader,73293,0,10.931083231834927,36.590088500183526
Samuel L. Jackson,8235263,0,16.20564566708785,33.397080418899606
Don Cheadle,926150,0,12.669729155214704,34.08224380344831
Aaron Taylor-Johnson,903896,0,12.36160610310325,34.49343079748476
Cobie Smulders,2169576,0,14.759892607915727,32.65448390425365
Anthony Mackie,2942083,0,15.18701297547946,32.72743355734357
Hayley Atwell,1952994,0,15.491153401090012,32.85723056908367
Idris Elba,6399057,0,15.570835477734311,32.90157537730698
Linda Cardellini,695454,0,12.495213763997056,34.31097512092154
Claudia Kim,357961,0,13.029777664232409,33.65138623262291
Thomas Kretschmann,33192,0,10.594609151822382,37.03190935801928
Andy Serkis,332414,0,11.574700731905176,35.648306537752575
Julie Delpy,116451,0,11.323198042844924,36.0248461970275
Henry Goodman,630,0,6.2074771596711225,25.771525079174893
Chris Luca,13040,0,9.745230479074737,37.8053333246867
Brian Schaeffer,445,0,6.010088748683264,23.808249399750906
Dominique Provost-Chalkley,286173,0,12.625341569411036,34.13930751355397
Isaac Andrews,10739,0,9.44249889157129,37.90265910099154
Bentley Kalu,9856,0,9.163142023024914,37.87980823628766
Julian Bleach,35,0,3.489415133149783,-22.414411348822227
Christopher Beasley,6113,0,8.265309829090912,36.852368651033345
Vuyo Dabula,475443,0,13.373010199182756,33.301836631931025
Nondumiso Tembe,10430,0,9.326977017039598,37.907390783682644
Mandla Gaduka,30704,0,9.948052552025356,37.67962626636836
Antony Acheampong,153,0,4.4417200490074045,0.31187336214100014
Ben Sakamoto,92,0,4.2375464245431465,-3.951911933194964
Ingvild Deila,4137,0,8.537364136574917,37.340401729239716
Earl T. Kim,1723,0,6.981942359921359,31.758509702272534
Arthur Lee,1804,0,7.486239485083321,34.38228633265035
Alma Noce,63450,0,10.52541156003695,37.115620308384564
Constanza Ruff,1086,0,7.000359382460298,31.870605451636038
Tony Christensen,1390,0,7.010390640825274,31.93111564170809
Ian Kay,2715,0,8.273567012177926,36.86974617380184
Aaron Himelstein,960,0,7.115300674237244,32.54122153900022
Kerry Condon,42150,0,9.94685875705,37.680492905145
Josh Brolin,3354464,0,14.960836313811566,32.67263309585681
Daniel Westwood,917,0,6.67019470189541,29.657372602811677
Daniel Radcliffe,3392012,0,14.923777635957611,32.66711349884824
Rupert Grint,5043900,0,14.214577146973232,32.75108053200617
Emma Watson,75037605,0,17.91985502203676,35.59097158367243
