Name,Followers,Score,Income
Vanessa Williams,670238.0,13.895040923427139,4.5
Tina Fey,15163.0,9.956713465821148,4.6
Britney Spears,42690003.0,19.089294623455046,35.0
Coldplay,25337349.0,17.526116281934744,70.0
Harrison Ford,2907.0,7.791726393750173,65.0
Stephenie Meyer,15338.0,9.766512684763375,50.0
Kenny Chesney,1811895.0,14.268141780585646,65.0
Clint Eastwood,297783.0,13.203266059004994,35.0
Eddie Murphy,41648.0,10.204346215849847,40.0
Rascal Flatts,324844.0,12.103221199407768,60.0
AC DC,4512459.0,15.46082974344296,60.0
Barack Obama,36591401.0,17.347247923349453,2.0
Chris Rock,6325451.0,15.425451227819632,42.0
Manny Pacquiao,7894003.0,15.774498103808245,40.0
Toby Keith,1054017.0,14.601180428343167,52.0
Meryl Streep,683562.0,14.238807578623357,24.0
Larry David,750368.0,13.45918503330104,55.0
Taylor Swift,276415639.0,22.27594610723099,18.0
Glenn Beck,497697.0,13.337093138249417,23.0
Jeff Dunham,1395896.0,13.000432490609573,30.0
Anne Hathaway,30872065.0,17.19530318087944,7.0
Ana Ivanovic,1554160.0,14.183851625029435,10.0
Alec Baldwin,2564998.0,14.240900171372333,8.0
Hugh Laurie,48955.0,11.010570763365383,10.0
Penn & Teller,144258.0,12.168478913479783,20.0
Mariska Hargitay,2918418.0,14.158665186360107,8.0
James Cameron,651514.0,13.083118350176257,210.0
Lady Gaga,56412407.0,17.60885516670703,62.0
Black Eyed Peas,1229756.0,13.321389590889826,48.0
Pink,10433562.0,16.304225180983472,44.0
Floyd Mayweather,29528121.0,17.061763160937925,65.0
Michael Bay,450048.0,12.600198769023976,120.0
Cristiano Ronaldo,611590655.0,17.53714790571104,36.0
Robert Pattinson,1046401.0,14.245210394643253,17.0
Conan O'Brien,1766022.0,15.070724385143192,38.0
Kristen Stewart,628434.0,13.571383161696536,12.0
Robert Downey Jr.,57234710.0,17.98598062248002,22.0
Lil Wayne,18622082.0,16.501799886355847,20.0
Keith Urban,2704267.0,15.024934343912987,27.5
Akon,8616526.0,16.621469329614726,21.0
Kate Hudson,17804829.0,15.439257772661444,11.0
Chelsea Handler,5107467.0,14.15461818677656,19.0
Justin Bieber,292867875.0,18.959173280866498,53.0
Katy Perry,206716318.0,19.32141708104129,44.0
Usher,11761854.0,17.726406585305906,46.0
Muse,2310592.0,14.015002091885446,35.0
Bethenny Frankel,3330648.0,15.41634972746993,55.0
Rafael Nadal,20576998.0,16.39903186197588,31.0
Christopher Nolan,220809.0,12.7744226056935,53.0
Brad Paisley,1943440.0,14.213827347984786,40.0
Dwyane Wade,20353076.0,17.72486889841509,26.0
Dwight Howard,3573525.0,15.690299404843056,28.0
Lionel Messi,492219767.0,19.262713651750236,32.0
Mark Burnett,39005.0,10.669306190281308,45.0
Eminem,40441257.0,17.685406861500965,14.0
Peyton Manning,669053.0,,26.0
Mark Wahlberg,25841276.0,16.580590613831095,28.0
Natalie Portman,8822432.0,16.430513014507103,8.0
Chuck Lorre,1542.0,7.082400825592377,35.0
Danielle Steel,59170.0,10.91178037018999,35.0
Courteney Cox,14510991.0,16.943249227408966,7.0
Mark Harmon,35290.0,10.66362754204339,13.0
Teri Hatcher,510167.0,13.146741137504602,9.0
Rihanna,152641242.0,18.501391126427347,53.0
Kim Kardashian,364122199.0,20.014257402961245,18.0
Adele,55485896.0,17.50595879642299,35.0
Dr. Dre,7359763.0,15.02897407623278,110.0
Ashton Kutcher,5278834.0,15.47383523606795,24.0
Taylor Lautner,10985071.0,16.68017255784004,26.0
Dwayne Johnson,392420022.0,18.91515189872862,36.0
Khloe Kardashian Odom,963.0,6.6657306782704255,11.0
Seth MacFarlane,978539.0,12.999070322854285,36.0
Charlize Theron,7654749.0,16.418475038351218,18.0
Sofia Vergara,31816906.0,17.747876798621803,43.0
Janet Evanovich,23171.0,10.375500239739585,33.0
Tiesto,7284248.0,16.120313494146355,23.0
Li Na,1209.0,7.429899489747653,18.0
Skrillex,12459481.0,16.172605887590343,15.0
Zooey Deschanel,7707612.0,15.386600182698807,9.0
Tim Allen,10899.0,9.416733014453762,14.0
Melissa McCarthy,12597984.0,,6.0
Hugh Jackman,31412396.0,17.77713530661669,55.0
Channing Tatum,17059273.0,16.87739137416599,60.0
Ben Affleck,24732.0,9.770200999409122,25.0
E.L. James,577225.0,14.124546344596979,95.0
Usain Bolt,13615210.0,16.08117467152359,24.0
Jennifer Lawrence,889145.0,14.292865436705185,26.0
Drew Brees,1750267.0,14.726344217298049,51.0
Calvin Harris,11347817.0,16.685354060499332,46.0
Sean Hannity,1796912.0,14.606572305161174,30.0
David Guetta,10451224.0,14.931309233112213,30.0
Emma Stone,28370.0,11.162411127553742,16.0
Neil Patrick Harris,9045195.0,16.157317081148854,15.0
Suzanne Collins,4094.0,8.43953691063227,55.0
Mila Kunis,1432121.0,14.284436035523889,11.0
Amy Poehler,35134.0,10.467465877570824,7.0
Kevin Hart,179346826.0,19.52669713636359,14.0
Louis C.K.,552679.0,13.180138484141544,16.0
Joss Whedon,1801.0,7.7502959662024145,25.0
Miranda Kerr,14589662.0,16.717403079858816,7.0
Bruno Mars,31998131.0,17.83972677461851,60.0
Tylor Swift,276511905.0,20.97871299914674,64.0
One Direction,22871922.0,,75.0
Kevin Durant,13420348.0,15.67028194415568,32.0
Pharrell Williams,15156358.0,16.917620465721466,22.0
Novak Djokovic,14117151.0,17.59625520495536,33.0
Jimmy Fallon,26458602.0,17.09529008047447,12.0
