Actor,Followers,Is_In_IMDB,Score
Jeremy Irons,18417,0,9.802642924045921
Laurence Fishburne,17661,0,9.903990394610522
Holly Hunter,562,0,5.905314113318173
Scoot McNairy,1119,0,6.340099298326419
Callan Mulvey,2035,0,7.68812370371884
Tao Okamoto,151608,0,12.186647516433519
Jena Malone,367865,0,12.56476066343221
Brandon Spink,23709,0,10.497300944677288
Lauren Cohan,4666256,0,14.439845734013758
Hugh Maguire,340,0,5.662055960973016
Michael Cassidy,2055,0,7.8164269634493895
Alan D. Purwin, ,0,
Dan Amboyer,97353,0,11.220628747602904
Rebecca Buller,5576,0,8.978310333498547
Harry Lennix,191575,0,12.305966000631331
Christina Wren,16537,0,9.721233732785317
Jade Chynoweth,2014144,0,12.996788263805104
Kevin Costner,1158725,0,13.594563307762701
Ezra Miller,37967,0,10.633853285614236
Patrick Wilson,528586,0,14.156290702245128
Michael Shannon,11116,0,8.635135682618396
Charlie Rose,127569,0,11.366544443500045
Vikram Gandhi,5316,0,8.567647520204485
Andrew Sullivan,2862,0,7.3414421509402565
Neil deGrasse Tyson,2006574,0,14.69327000471064
Jon Stewart,481778,0,12.701096915269824
Soledad O'Brien,533656,0,12.690025793656131
Dana Bash,133575,0,12.09686348019741
Nancy Grace,176708,0,11.144008139129612
Anderson Cooper,4113587,0,14.92805552196927
Brooke Baldwin,213068,0,11.886280955054598
Carla Gugino,830682,0,14.524361618928245
Jason Momoa,17124575,0,17.00431646206232
Joe Morton,92901,0,11.684494060564854
Ray Fisher,268091,0,12.175289512927806
Joseph Cranford,57,0,4.1001533079139785
Emily Peterson,2955,0,7.542135147184742
Jeffrey Dean Morgan,5446934,0,15.95521686935388
Sammi Rotibi,57472,0,11.36331284183764
Tiffany L. Addison,1133,0,7.35277244868625
Owais Ahmed,2483,0,8.12532191140454
Tiffany Bedwell,798,0,6.653421275349794
Jeff Dumas,689,0,6.60709696256296
Miriam Lee,2289,0,7.7951694441990105
Stephanie Koenig,30978,0,11.107046643670865
Ripley Sobo,10605,0,8.809928375367804
Richard Burden,478,0,6.2623907941221475
Wunmi Mosaku,107686,0,12.527883971618392
Kiff VandenHeuvel,4544,0,8.63217650152504
Mason Heidger,1173,0,6.892556874752135
Sebastian Sozzi,2001,0,7.833965881269385
Ralph Lister,7287,0,8.907948767087866
Jay Towers,48716,0,9.722166778506596
Michael Ellison,3850,0,8.450063075428902
Rashontae Wawrzyniak,273,0,5.522686477623372
Tom Luginbill,4014,0,8.447624112030423
Dave Pasch,170,0,4.776284403443525
Danny Mooney ,32726,0,9.923999773242656
Nicole Forester,2291,0,7.912066214950948
Debbie Stabenow,6303,0,8.504054992764097
Milica Govich ,12787,0,9.135157744632467
Jonathan West,1102,0,6.840505497802679
Chris Newman,2392,0,7.825715566102697
Lulu Dahl,95,0,4.628829714047089
Sam Logan Khaleghi,902,0,6.919226765945789
Connie Craig,6418,0,8.678435107438718
Albert Valladares,15154,0,9.811634532251155
David Paris,1346,0,7.146104678743575
Abigail Kuklis,1241,0,7.3556519821469095
Steve Jasgur,922,0,6.843113901819913
Jonathan Stanley,4491,0,8.510246867901229
Jesse Nagy,302,0,5.773178962620747
