Title,Genres,Keywords,Year,Main_nominations,Technical_nominations,Artistic_nominations,Main_winner,Technical_winner,Artistic_winner,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Mulan,"['Adventure', 'Fantasy', 'Drama', 'Action']","['martial arts', 'hero', 'china', 'fake identity', 'honor', 'east asian lead', 'heroine', 'based on myths, legends or folklore', 'live action and animation', 'chinese girl', 'live action remake']",2020,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Pinocchio,"['Fantasy', 'Adventure', 'Family']","['fairy', 'musical', 'puppet', 'live action and animation', 'live action remake', 'talking animal', 'pinocchio']",2020,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Another Round,"['Comedy', 'Drama']","['friendship', 'experiment', 'copenhagen, denmark', 'alcohol', 'family relationships', 'teacher', 'teacher student relationship', 'intoxication', 'social pressure', 'pressure to perform']",2020,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Da 5 Bloods,"['War', 'Drama']","['vietnam war', 'vietnam veteran', 'gold', 'vietnam', 'war veteran', 'male friendship', 'land mine']",2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Soul,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Drama']","['new york city', 'jazz', 'musician', 'cat', 'self-discovery', 'jazz singer or musician', 'teacher', 'life after death']",2020,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Eurovision Song Contest: The Story of Fire Saga,"['Comedy', 'Music']","['pop star', 'competition', 'rivalry', 'aspiring singer', 'singing competition', 'eurovision']",2020,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Life Ahead (La Vita Davanti a Se),['Drama'],"['based on novel or book', 'remake', 'holocaust (shoah) survivor', 'seaside town', 'street kid', 'elderly lady']",2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tenet,"['Action', 'Thriller', 'Science Fiction']","['assassin', 'espionage', 'spy', 'time travel', 'mumbai (bombay), india', 'arms dealer', 'terrorism', 'terrorist attack', 'nuclear weapons', 'terrorist plot', 'backwards', 'alternate timeline', 'oslo, norway', 'time paradox', 'kyiv (kiev), ukraine']",2020,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Greyhound,"['War', 'Action', 'Drama']","['submarine', 'allies', 'atlantic ocean', 'world war ii', 'based on true story', 'convoy', 'battleship', 'naval warfare', 'naval battleship']",2020,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Love and Monsters,"['Comedy', 'Action', 'Adventure', 'Fantasy']","['monster', 'bunker', 'post-apocalyptic future', 'coming of age', 'mutant animal', 'psychotronic', 'giant crab', 'teenager']",2020,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Midnight Sky,"['Science Fiction', 'Drama']","['based on novel or book', 'post-apocalyptic future', 'nuclear radiation', 'space travel', 'arctic polar circle region', 'end of the world', 'cancer', 'astronaut', 'space exploration', 'space adventure', '2040s', 'space walk']",2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The One and Only Ivan,"['Family', 'Comedy', 'Drama']","['based on novel or book', 'circus', 'gorilla', 'based on true story', 'talking animal']",2020,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The White Tiger,['Drama'],"['chauffeur', 'based on novel or book', 'delhi, india', 'rags to riches', 'class differences', 'driver', 'caste system', 'master servant relationship']",2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Being the Ricardos,"['Drama', 'History']","['show business', 'marriage', 'biography', 'based on true story', 'interracial marriage', 'hollywood', 'showbiz', '1950s', 'television star']",2021,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Power of the Dog,"['Drama', 'Western']","['husband wife relationship', 'based on novel or book', 'sadism', 'sexuality', 'widow', 'montana', 'eroticism', 'banjo', 'cigarette', 'ranch', 'marriage', 'bullying', 'death of father', 'sexual tension', 'period drama', 'masturbation', 'alcoholic', 'humiliation', 'gender roles', 'cowboy', 'homoeroticism', 'lgbt', 'misogynist', 'mentor protégé relationship', 'woman director', 'medical student', 'drunkenness', 'masculinity', 'animal cruelty', '1920s', 'hula hoop', 'mother son relationship', 'brother brother relationship', 'toxic masculinity', 'repressed sexuality', 'gay theme', 'brothers', 'homosexual subtext', 'homosexuality', '20th century']",2021,7,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"tick, tick...BOOM!","['Drama', 'Music']","['new york city', 'composer', 'artist', 'musical', 'based on true story', 'based on play or musical', 'singing', 'boyfriend girlfriend relationship', 'struggling artist', '1990s', 'portrait of an artist', 'hiv/aids epidemic', 'theater']",2021,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
King Richard,"['Drama', 'History']","['tennis', 'tennis player', 'father', 'based on true story', 'wimbledon', 'family', 'tennis pro', 'father daughter relationship', 'coaching', 'champions', 'sport']",2021,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Tragedy of Macbeth,"['Drama', 'War']","['witch', 'husband wife relationship', 'scotland', 'ambition', 'treason', 'based on play or musical', 'black and white', 'rise to power', 'non-traditional casting']",2021,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Belfast,['Drama'],"['working class', 'black and white', 'belfast, north ireland', '1960s', 'the troubles (north ireland, 1966-98)']",2021,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CODA,"['Drama', 'Music', 'Romance']","['parent child relationship', 'music teacher', 'fishing', 'deaf', 'massachusetts', 'coming of age', 'remake', 'singing', 'family', 'first love', 'disability', 'based on movie', 'woman director', 'sign languages', 'school choir', 'music school', 'teenager']",2021,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
The Eyes of Tammy Faye,"['Drama', 'History']","['biography', 'based on true story', 'rise and fall', 'televangelist']",2021,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Lost Daughter,['Drama'],"['daughter', 'mother', 'beach', 'based on novel or book', 'greece', 'vacation', 'doll', 'motherhood', 'woman director']",2021,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Parallel Mothers,['Drama'],"['mother', 'photographer', 'pregnancy', 'spanish civil war (1936-39)', 'memory', 'single mother', 'motherhood', 'dna testing', 'switched at birth', 'post spanish civil war', 'lesbian']",2021,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spencer,['Drama'],"['princess', 'marriage crisis', 'royal family', 'biography', 'based on true story', 'psychological abuse', 'norfolk', 'christmas', '1990s', 'british royal family', 'british monarchy', 'body horror', 'princess diana']",2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
West Side Story,"['Drama', 'Romance', 'Crime']","['new york city', 'dancing', 'dance', 'street gang', 'love at first sight', 'forbidden love', 'musical', 'based on play or musical', 'interracial relationship', 'racism', 'young love', 'broadway musical', '1950s', 'romeo & juliet', 'latino']",2021,3,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Dune,"['Science Fiction', 'Adventure']","['empire', 'future', 'epic', 'army', 'based on novel or book', 'prophecy', 'dystopia', 'emperor', 'sand', 'spice', 'hallucinogen', 'treason', 'baron', 'revenge', 'premonition', 'betrayal', 'space', 'water shortage', 'creature', 'desert', 'knife fight', 'destiny', 'giant worm', 'space opera', 'sand dune', 'messiah', 'mother son relationship', 'giant creature']",2021,2,4,4,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nightmare Alley,"['Crime', 'Thriller', 'Drama']","['infidelity', 'based on novel or book', 'love triangle', 'tarot cards', 'mentor', 'hustler', 'lie', 'supernatural', 'carnival', 'con artist', 'murder', 'fugitive', 'alcoholic', 'grifter', 'séance', 'carny', 'neo-noir', '1940s', 'mentalist', 'violence']",2021,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cruella,"['Comedy', 'Crime']","['1970s', 'anti hero', 'villain', 'punk rock', 'fashion designer', 'fashion', 'origin story', 'live action remake']",2021,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyrano,"['Drama', 'Romance']","['paris, france', 'love triangle', 'theater play', 'musical', 'remake', '17th century']",2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Drive My Car,['Drama'],"['infidelity', 'japan', 'loss of loved one', 'theater play', 'theater director', 'monologue', 'road trip', 'hiroshima, japan', 'grief', 'rehearsal', 'audition', 'sensuality', 'old car', 'driver', 'artistic sex', 'based on short story', 'sign languages', 'slow cinema', 'bilingual', 'loss of child']",2021,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Licorice Pizza,"['Drama', 'Comedy', 'Romance']","['high school', 'california', 'jealousy', '1970s', 'politician', 'coming of age', 'love', 'teenage love', 'young love', 'san fernando valley', 'pinball machine', 'child actor', 'young entrepreneur', 'closeted homosexual', 'brother brother relationship', 'jewish', 'age-gap relationship', 'period piece', 'teenager']",2021,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Don't Look Up,"['Comedy', 'Science Fiction', 'Drama']","['artificial intelligence (a.i.)', 'the white house', 'asteroid', 'climate change', 'satire', 'global warming', 'comet', 'end of the world', 'social commentary', 'social satire', 'meteorite', 'astronomer', 'disaster', 'teacher student relationship', 'denial', 'mass hysteria', 'aftercreditsstinger', 'duringcreditsstinger']",2021,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Coming 2 America,['Comedy'],"['africa', 'prince', 'heir to the throne', 'sequel', 'queens, new york city']",2021,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
House of Gucci,"['Drama', 'History', 'Crime']","['marriage crisis', 'italy', 'biography', 'fashion designer', 'murder', 'fashion', 'failing marriage', '1980s', '1990s', 'rich family', 'gucci']",2021,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Encanto,"['Animation', 'Comedy', 'Family', 'Fantasy']","['strong woman', 'magic', 'sadness', 'immigration', 'supernatural', 'beauty', 'musical', 'big family', 'forest', 'family secrets', 'family relationships', 'flamenco', 'joy of life', 'teenage girl', 'female protagonist', 'family conflict', 'helping children', 'matriarch', 'colombia']",2021,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
No Time to Die,"['Action', 'Adventure', 'Thriller']","['based on novel or book', 'forgiveness', 'poison', 'spy', 'mi6', 'family', 'british secret service', 'parents', 'global threat', 'nanobots']",2021,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Four Good Days,['Drama'],"['drug addiction', 'relapse', 'heroin withdrawl', 'mother daughter relationship']",2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Free Guy,"['Comedy', 'Adventure', 'Science Fiction']","['hero', 'artificial intelligence (a.i.)', 'video game', 'virtual reality', 'gun', 'code', 'gamer', 'bank robbery', 'bank teller', 'programmer', 'mmorpg', 'heroic']",2021,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shang-Chi and the Legend of the Ten Rings,"['Action', 'Adventure', 'Fantasy']","['martial arts', 'superhero', 'based on comic', 'mixed martial arts', 'east asian lead', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'father son relationship']",2021,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spider-Man: No Way Home,"['Action', 'Adventure', 'Science Fiction']","['new york city', 'hero', 'showdown', 'magic', 'loss of loved one', 'secret identity', 'superhero', 'dangerous', 'villain', 'portal', 'sequel', 'vigilante', 'superhero team', 'alternate reality', 'masked vigilante', 'spider web', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'teenage hero', 'fight for justice', 'superhero teamup', 'returning hero', 'crossover', 'teamwork', '蜘蛛侠：英雄无归']",2021,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Worst Person in the World,"['Drama', 'Comedy', 'Romance']","['bookshop', 'photographer', 'pregnancy', 'man woman relationship', 'magic mushroom', 'cancer', 'break-up', 'older man younger woman relationship', 'oslo, norway', 'controversial artist', 'turning thirty', '2020s']",2021,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Elvis,"['Drama', 'Music']","[""rock 'n' roll"", 'biography', 'based on true story', 'singer', 'music business', '1950s', 'elvis presley', 'music movie']",2022,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Banshees of Inisherin,"['Drama', 'Comedy']","['friendship', 'island', 'donkey', 'dark comedy', 'irish civil war (1922-23)', 'church', 'ireland', 'drinking', 'former best friend', 'self mutilation', 'fiddle', '1920s', 'brother sister relationship', 'pub']",2022,7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Whale,['Drama'],"['regret', 'nurse', 'missionary', 'idaho', 'bible', 'redemption', 'overweight man', 'addiction', 'based on play or musical', 'teacher', 'grief', 'neighbor', 'obesity', 'religion', 'death of lover', 'election', 'rebellious daughter', 'guilt', 'death', 'lgbt', 'sister-in-law', 'eating disorder', 'father daughter reunion', 'empathy', 'shame', 'english teacher', 'abandonment', 'one location', 'father daughter relationship', '2010s', 'gay theme', 'apartment', 'essay', 'food addiction', 'religious symbolism']",2022,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aftersun,['Drama'],"['hotel', 'depression', 'karaoke', 'tourist', 'melancholy', 'vacation', 'turkey', 'swimming pool', 'coming of age', 'memory', 'tai chi', 'family vacation', 'first kiss', 'teenage daughter', 'lgbt', 'video recorder', 'woman director', 'moody', 'rug', 'father daughter relationship', 'reminiscing', 'gay theme', 'bittersweet']",2022,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Living,['Drama'],"['london, england', 'terminal illness', 'remake', 'period drama', 'post world war ii', '1950s']",2022,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Causeway,['Drama'],"['post-traumatic stress disorder (ptsd)', 'new orleans, louisiana', 'swimming pool', 'car accident', 'veteran', 'woman director', 'brain injury', 'mother daughter relationship']",2022,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Fabelmans,"['Drama', 'Comedy']","['high school', 'husband wife relationship', 'arizona', 'bullying', 'family relationships', 'coming of age', 'anti-semitism', 'teenage boy', 'filmmaking', 'childhood', 'semi autobiographical', 'marital problem', 'big dreams', 'father son relationship', 'mother son relationship']",2022,5,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Everything Everywhere All at Once,"['Action', 'Adventure', 'Science Fiction']","['mother', 'martial arts', 'kung fu', 'philosophy', 'generations conflict', 'chinese woman', 'laundromat', 'chinese', 'east asian lead', 'family', 'hot dog', 'asian woman', 'chinese immigrant', 'mother daughter relationship', 'asian american', 'intergenerational trauma', 'internal revenue service']",2022,7,1,3,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tár,"['Drama', 'Music']","['infidelity', 'new york city', 'berlin, germany', 'composer', 'musician', 'classical music', 'conductor', 'orchestra', 'philippines', 'lgbt', 'character study', 'adopted child', 'concert pianist', 'metoo', 'cancel culture']",2022,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Blonde,['Drama'],"['suicide', 'rape', 'husband wife relationship', 'based on novel or book', 'pregnancy', 'overdose', 'psychological stress', 'biography', 'celebrity', 'psychological abuse', 'fame', 'domestic violence', 'hollywood', 'los angeles, california', 'reality vs fantasy', 'substance abuse', 'starlet', 'traumatic childhood', 'mother daughter relationship', 'absent father', 'marilyn monroe']",2022,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
To Leslie,['Drama'],"['texas', 'redemption', 'lottery', 'addiction', 'alcoholism', 'seventies']",2022,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther: Wakanda Forever,"['Action', 'Adventure', 'Science Fiction']","['hero', 'loss of loved one', 'superhero', 'royal family', 'based on comic', 'sequel', 'royalty', 'underwater', 'political intrigue\xa0', 'death in family', 'mourning', 'death of brother', 'duringcreditsstinger', 'death of king', 'marvel cinematic universe (mcu)', 'hidden civilization', 'yucatan', 'mayans']",2022,1,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
All Quiet on the Western Front,"['Drama', 'War']","['based on novel or book', 'world war i', 'tank', 'battle', 'period drama', 'german soldier', '1910s', 'aircraft', 'trench warfare']",2022,2,3,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Bardo, False Chronicle of a Handful of Truths","['Comedy', 'Drama']","['mexico', 'midlife crisis', 'journalism', 'surrealism', 'hollywood', 'los angeles, california', 'miscarriage', 'family', 'filmmaking', 'semi autobiographical', 'documentary filmmaking', 'existentialism']",2022,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Empire of Light,"['Drama', 'Romance']","['england', 'love', 'interracial relationship', 'racism', 'mental illness', 'projectionist', 'seaside town', '1980s', 'lost soul', 'race relations', 'movie theater']",2022,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Babylon,"['Drama', 'Comedy']","['elephant', 'gambling', 'gambling debt', 'movie business', 'orgy', 'cocaine', 'champagne', 'alcoholism', 'hollywood', 'alcoholic', 'filmmaking', 'movie star', 'silent film star', '1920s', 'old hollywood', 'fading star', 'sex']",2022,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mrs. Harris Goes to Paris,"['Drama', 'Comedy']","['paris, france', 'based on novel or book', 'widow', 'dress', 'fashion', 'cleaner', '1950s']",2022,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Triangle of Sadness,"['Comedy', 'Drama']","['dark comedy', 'satire', 'survival', 'stranded', 'cruise ship', 'class differences', 'gender roles', 'sinking ship', 'food rationing', 'power struggle', 'luxury yacht', 'open ended', 'social media influencer', 'social climber', 'wealth inequality']",2022,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Top Gun: Maverick,"['Action', 'Drama']","['fighter pilot', 'u.s. navy', 'sequel', 'nuclear weapons', 'military']",2022,2,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Batman,"['Crime', 'Mystery', 'Thriller']","['police', 'psychopath', 'secret identity', 'crime fighter', 'superhero', 'nightclub', 'politician', 'based on comic', 'vigilante', 'organized crime', 'serial killer', 'millionaire', 'social injustice', 'murder investigation', 'aftercreditsstinger', 'masked superhero', 'political corruption', 'neo-noir', 'vengeance', 'mayoral election']",2022,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Tell It like a Woman,"['Drama', 'Comedy', 'Action']",[],2022,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RRR,"['Action', 'Drama']","['rescue', 'revolution', 'liberation', 'slavery', 'male friendship', 'freedom fighter', 'british empire', 'interracial romance', 'historical fiction', 'period drama', 'historical', '1920s', 'history of india', 'killed in action', 'war']",2022,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,"['Science Fiction', 'Adventure', 'Action']","['dying and death', 'loss of loved one', 'alien life-form', 'resurrection', 'dysfunctional family', 'sequel', 'alien planet', 'distant future', 'adopted child', 'rebirth', 'family dynamics', 'adopted son', 'stronger villain', 'war']",2022,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Women Talking,['Drama'],"['rape', 'based on novel or book', 'faith', 'illiteracy', 'bolivia', 'mennonites', 'religion', 'gang rape', 'teenage rape', 'meeting', 'duringcreditsstinger', 'woman director', 'sexual assault', 'abusive husband', '2000s', 'pregnancy from rape']",2022,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Glass Onion: A Knives Out Mystery,"['Comedy', 'Crime', 'Mystery']","['detective', 'greece', 'investigation', 'mona lisa (la gioconda)', 'satire', 'sequel', 'murder', 'billionaire', 'whodunit', 'puzzle box', 'clue', 'identical twin', 'murder mystery', 'arrested development', 'covid-19']",2022,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Metropolis,"['Drama', 'Science Fiction']","['future', 'metropolis', 'class society', 'man vs machine', 'underground world', 'tower of babel', 'based on novel or book', 'inventor', 'dystopia', 'delirium', 'mad scientist', 'prophet', 'steampunk', 'grim reaper', 'robot', 'destruction', 'silent film', 'expressionism', 'seven deadly sins', 'depravity', 'mob justice', 'downtrodden', 'saviour', 'social unrest', 'german expressionism', 'mediator']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sunrise: A Song of Two Humans,"['Drama', 'Romance']","['adultery', 'lake', 'love triangle', 'pig', 'marriage crisis', 'country life', 'indian summer ', 'redemption', 'rural area', 'storm', 'silent film', 'farmer', 'troubled marriage', 'german expressionism']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Lodger: A Story of the London Fog,"['Drama', 'Thriller', 'Mystery']","['london, england', 'jack the ripper', 'boarder', 'lodger', 'serial killer', 'silent film', 'fashion show', 'mysterious stranger', 'modeling']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
The Unknown,"['Drama', 'Horror']","['circus', 'love', 'knife throwing', 'silent film', 'psychotronic', 'armless', 'circus performer']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Napoléon,"['Drama', 'History', 'War']","['french revolution', 'biography', 'black and white', 'political campaign', 'silent film', 'french impressionism']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
College,"['Drama', 'Comedy', 'Romance']",[],1927,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Berlin: Die Sinfonie der Großstadt,['Documentary'],"['berlin, germany', 'city portrait', 'train', 'avant-garde', 'silent film', 'poetic documentary']",1927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ring,"['Drama', 'Romance']","['love triangle', 'boxer', 'woman between two men', 'silent film', 'prizefight', 'boxing', 'boxing ring', 'prizefighter', 'boxing match']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Kid Brother,"['Comedy', 'Drama', 'Family', 'Romance']","['hero', 'fire', 'sheriff', 'chase', 'fight', 'brother', 'falsely accused', 'stolen money', 'thief', 'medicine show', 'monkey', 'silent film', 'capture', 'hideout', 'ingenuity', 'sweethearts', 'derelict boat', 'father son relationship']",1927,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Downhill,"['Drama', 'Adventure']","['boarding school', 'stage show', 'silent film', 'headmaster', 'fall guy', 'expulsion', 'misfortune', 'wrongly punished', 'dancehall', 'paid dance companion', 'stage show performer']",1927,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Cat and the Canary,"['Horror', 'Comedy', 'Mystery']","['haunted house', 'based on play or musical', 'last will and testament', 'black and white', 'old dark house', 'silent film', 'aristocrat', 'expressionism']",1927,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The Pleasure Garden,"['Drama', 'Romance']","['black and white', 'silent film']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
It,"['Drama', 'Comedy', 'Romance']","['department store', 'reporter', 'silent film', 'newspaper reporter', 'hot dog']",1927,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Battle of the Century,['Comedy'],"['black and white', 'silent film', 'partially lost film', 'short film']",1927,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The King of Kings,"['Drama', 'History']","['epic', 'crucifixion', 'resurrection', 'silent film', 'messiah', 'big budget', 'jesus christ', 'judea']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Trolley Troubles,['Animation'],"['silent film', 'short film']",1927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Третья Мещанская,"['Comedy', 'Drama']","['newspaper', 'love triangle', 'love', 'big city', 'black and white', 'business trip']",1927,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Konets Sankt-Peterburga,['Drama'],"['revolution', 'soviet realism']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
La glace à trois faces,['Drama'],[],1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Scarlet Letter,['Drama'],"['minister', 'clergyman', 'punishment', 'love', 'single mother', 'silent film', 'public humiliation', 'reverend', 'seamstress', 'stigma', 'adulteress', 'missing husband', 'out of wedlock child', 'love child']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Second Hundred Years,['Comedy'],"['prison escape', 'black and white', 'convict', 'silent film', 'short film']",1927,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London After Midnight,"['Horror', 'Drama']","['vampire', 'butler', 'inspector', 'maid', 'silent film', 'lost film']",1927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Putting Pants on Philip,['Comedy'],"['scotland', 'kilt', 'black and white', 'tailor', 'silent film', 'short film']",1927,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
