Actor,Followers,Is_In_IMDB,Score
Michael Cassidy,2055,0,0
Alan D. Purwin, ,0,1
Dan Amboyer,97353,0,0
Rebecca Buller,5576,0,0
Harry Lennix,191575,0,0
Christina Wren,16537,0,0
Jade Chynoweth,2014144,0,1
Kevin Costner,1158725,0,0
Ezra Miller,37967,0,0
Patrick Wilson,528586,0,0
Michael Shannon,11116,0,0
Charlie Rose,127569,0,0
Vikram Gandhi,5316,0,0
Andrew Sullivan,2862,0,0
Neil deGrasse Tyson,2006574,0,1
Jon Stewart,481778,0,0
Soledad O'Brien,533656,0,0
Dana Bash,133575,0,0
Nancy Grace,176708,0,0
Anderson Cooper,4113587,0,3
Brooke Baldwin,213068,0,0
Carla Gugino,830682,0,0
Jason Momoa,17124575,0,14
Joe Morton,92901,0,0
Ray Fisher,268091,0,0
Joseph Cranford,57,0,0
Emily Peterson,2955,0,0
Jeffrey Dean Morgan,5446934,0,4
Sammi Rotibi,57472,0,0
Tiffany L. Addison,1133,0,0
Owais Ahmed,2483,0,0
Tiffany Bedwell,798,0,0
Jeff Dumas,689,0,0
Miriam Lee,2289,0,0
Stephanie Koenig,30978,0,0
Ripley Sobo,10605,0,0
Richard Burden,478,0,0
Wunmi Mosaku,107686,0,0
Kiff VandenHeuvel,4544,0,0
Mason Heidger,1173,0,0
Sebastian Sozzi,2001,0,0
Ralph Lister,7287,0,0
Jay Towers,48716,0,0
Michael Ellison,3850,0,0
Rashontae Wawrzyniak,273,0,0
Tom Luginbill,4014,0,0
Dave Pasch,170,0,0
Danny Mooney ,32726,0,0
Nicole Forester,2291,0,0
Debbie Stabenow,6303,0,0
Milica Govich ,12787,0,0
Jonathan West,1102,0,0
Chris Newman,2392,0,0
Lulu Dahl,95,0,0
Sam Logan Khaleghi,902,0,0
Connie Craig,6418,0,0
Albert Valladares,15154,0,0
David Paris,1346,0,0
Abigail Kuklis,1241,0,0
Steve Jasgur,922,0,0
Jonathan Stanley,4491,0,0
Jesse Nagy,302,0,0
Robin Atkin Downes,8625,0,0
Issac Ryan Brown,524644,0,0
Bailey Chase,219972,0,0
C.T. Fletcher,2616767,0,2
Jalene Mack,12614,0,0
Nene Nwoko,11026,0,0
Alma Martinez,287,0,0
Ele Bardha,2559,0,0
Inder Kumar,5005,0,0
Brandon Bautista,9908,0,0
Laura Atwood,1339,0,0
David Leach,1330,0,0
Gordon Michaels,1238,0,0
Brian Boland,17873,0,0
Nicole Santini,822,0,0
Dante Briggins,3,0,0
Joe Cipriano,2233,0,0
Will Blagrove,29788,0,0
Brandon Routh,1136232,0,0
Kevin Spacey,602389,0,0
Kate Bosworth,1001618,0,0
James Marsden,1691069,0,1
Parker Posey,128533,0,0
Frank Langella,637,0,0
Sam Huntington,38332,0,0
Eva Marie Saint,598,0,0
Kal Penn,396586,0,0
Tristan Lake Leabu,16048,0,0
David Fabrizio,125,0,0
Ian Roberts,20455,0,0
Vincent Stone,1103,0,0
Keegan Joyce,53147,0,0
Jordana Beatty,6409,0,0
Olga Kurylenko,819071,0,0
Giancarlo Giannini,1771,0,0
Gemma Arterton,70633,0,0
David Harbour,9512805,0,7
Anatole Taubman,694,0,0
JoaquÃÂ­n Cosio,290439,0,1
Glenn Foster,4604,0,0
Stana Katic,607332,0,0
Lucrezia Lante della Rovere,71576,0,0
Neil Jackson,28903,0,0
Oona Chaplin,108872,0,0
Rachel McDowall,274,0,0
Aaron King,886,0,0
Brandon Jovanovich,2282,0,0
JesÃÂºs Ochoa,48813,0,1
Simon Kassianides,30506,0,0
Alex Norton,998,0,0
Matt O'Leary,7343,0,0
Leon Rippy,89,0,0
Harry Treadaway,2122,0,0
Damon Herriman,11780,0,0
Rance Howard,593982,0,0
Leonard Earl Howze,1762,0,0
Travis Hammer,160,0,0
Steve Corona,1036,0,0
Jack Axelrod,120,0,0
Christopher Hagen,176,0,0
Freda Foh Shen,43,0,0
Margaret Bowman,361,0,0
